800,136,65,208
804,136,67,212
798,136,75,206
803,135,59,201
800,130,68,212
798,130,67,208
798,132,70,210
830,144,68,206
848,144,55,219
850,148,66,212
863,158,84,202
860,156,91,207
891,158,71,199
900,158,69,202
910,150,76,213
913,158,77,202
919,155,81,202
927,155,79,205
928,147,79,207
922,150,82,203
913,145,88,206
919,148,78,209
918,148,68,209
912,141,62,210
907,144,64,213
892,141,70,216
869,147,79,207
873,145,74,202
860,147,81,192
851,145,55,217
839,144,65,212
821,142,76,215
815,135,71,216
800,132,54,218
791,130,53,202
765,130,77,220
748,136,93,200
748,138,99,201
730,139,88,202
720,138,66,198
696,144,84,207
685,147,94,206
674,153,100,210
659,156,108,210
644,158,100,204
637,165,92,203
637,167,93,217
629,173,95,221
637,174,90,224
652,185,77,209
656,188,79,207
658,186,77,224
674,195,87,215
680,201,97,206
693,204,89,206
705,201,81,209
718,203,71,207
730,207,74,203
738,206,101,206
750,206,103,207
755,201,95,209
768,200,85,206
807,195,61,217
815,197,80,210
815,194,104,204
820,197,102,204
827,194,97,204
854,198,84,196
882,198,63,202
883,197,80,204
885,197,102,200
889,197,97,207
892,191,111,207
904,194,115,206
922,194,96,203
933,195,82,205
941,191,71,209
932,183,75,217
928,179,75,222
922,170,78,227
935,167,62,227
922,162,100,206
910,164,126,198
910,164,96,196
909,162,75,201
898,159,85,201
888,156,81,197
886,156,67,200
874,156,79,200
868,152,79,205
857,147,85,210
850,144,77,213
850,145,74,217
845,145,80,226
848,161,74,225
853,164,68,223
853,179,69,210
853,183,71,207
853,185,74,212
856,189,77,227
859,203,69,215
862,203,73,216
860,198,79,218
865,206,71,210
869,204,79,209
874,204,89,215
879,203,84,212
883,198,86,218
898,195,80,220
927,198,57,220
930,203,76,204
932,200,81,204
935,204,81,200
936,207,82,199
953,206,72,200
953,203,75,201
947,198,74,206
945,198,73,208
935,195,69,209
918,185,72,218
900,189,81,206
888,188,81,199
877,191,83,198
865,186,71,208
851,185,68,216
838,186,72,212
833,194,76,206
820,194,84,209
815,195,73,208
810,195,61,211
809,192,54,208
794,189,72,211
795,173,65,225
794,170,69,228
794,171,66,227
791,168,69,233
794,165,66,238
791,162,72,235
798,158,59,239
797,158,76,211
804,156,67,204
800,156,73,206
803,156,70,204
798,150,78,210
803,152,76,208
800,150,77,209
795,147,82,201
788,150,88,203
777,147,91,203
765,144,86,203
750,145,70,197
744,135,71,209
727,139,85,205
718,138,55,198
702,136,63,205
694,133,67,208
676,130,85,211
664,127,97,212
652,130,95,211
637,127,81,221
627,133,96,215
611,138,100,218
606,144,105,215
594,152,105,208
590,145,80,217
618,186,106,208
627,186,91,209
637,189,86,206
659,188,80,206
664,186,104,208
671,192,106,200
676,189,101,208
680,183,102,209
705,182,75,216
720,182,71,218
729,183,94,217
739,183,85,215
741,191,83,209
745,192,81,208
756,191,73,207
773,194,60,209
779,191,78,209
782,194,74,200
789,186,76,215
788,182,97,215
797,177,80,209
789,173,77,205
788,164,80,211
